2025-12-17 17:27:11 - lightweight_realtime - INFO - [2025-12-17 17:27:11.040] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:12 - lightweight_realtime - INFO - [2025-12-17 17:27:12.062] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:13 - lightweight_realtime - INFO - [2025-12-17 17:27:13.085] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:14 - lightweight_realtime - INFO - [2025-12-17 17:27:14.104] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:15 - lightweight_realtime - INFO - [2025-12-17 17:27:15.151] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:16 - lightweight_realtime - INFO - [2025-12-17 17:27:16.176] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:17 - lightweight_realtime - INFO - [2025-12-17 17:27:17.191] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:18 - lightweight_realtime - INFO - [2025-12-17 17:27:18.213] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:19 - lightweight_realtime - INFO - [2025-12-17 17:27:19.231] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:20 - lightweight_realtime - INFO - [2025-12-17 17:27:20.251] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:21 - lightweight_realtime - INFO - [2025-12-17 17:27:21.270] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:22 - lightweight_realtime - INFO - [2025-12-17 17:27:22.288] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:23 - lightweight_realtime - INFO - [2025-12-17 17:27:23.371] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:24 - lightweight_realtime - INFO - [2025-12-17 17:27:24.473] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:25 - lightweight_realtime - INFO - [2025-12-17 17:27:25.631] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:26 - lightweight_realtime - INFO - [2025-12-17 17:27:26.659] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-17 17:27:27 - lightweight_realtime - INFO - [2025-12-17 17:27:27.697] Positions: 0 | State: SCANNING | Symbol: FR40m
2025-12-17 17:27:28 - lightweight_realtime - INFO - [2025-12-17 17:27:28.724] Positions: 0 | State: SCANNING | Symbol: XCUUSDm
2025-12-17 17:27:29 - lightweight_realtime - INFO - [2025-12-17 17:27:29.758] Positions: 0 | State: SCANNING | Symbol: YUMCm
2025-12-17 17:27:30 - lightweight_realtime - INFO - [2025-12-17 17:27:30.787] Positions: 0 | State: SCANNING | Symbol: USOILm
2025-12-17 17:27:31 - lightweight_realtime - INFO - [2025-12-17 17:27:31.807] Positions: 0 | State: SCANNING | Symbol: XAGGBPm
