2025-12-18 21:43:55 - lightweight_realtime - INFO - [2025-12-18 21:43:55.631] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:56 - lightweight_realtime - INFO - [2025-12-18 21:43:56.656] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:57 - lightweight_realtime - INFO - [2025-12-18 21:43:57.660] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:58 - lightweight_realtime - INFO - [2025-12-18 21:43:58.998] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:00 - lightweight_realtime - INFO - [2025-12-18 21:44:00.014] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:01 - lightweight_realtime - INFO - [2025-12-18 21:44:01.039] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:02 - lightweight_realtime - INFO - [2025-12-18 21:44:02.059] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:03 - lightweight_realtime - INFO - [2025-12-18 21:44:03.079] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:04 - lightweight_realtime - INFO - [2025-12-18 21:44:04.117] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:05 - lightweight_realtime - INFO - [2025-12-18 21:44:05.175] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:06 - lightweight_realtime - INFO - [2025-12-18 21:44:06.206] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:07 - lightweight_realtime - INFO - [2025-12-18 21:44:07.231] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:08 - lightweight_realtime - INFO - [2025-12-18 21:44:08.255] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:09 - lightweight_realtime - INFO - [2025-12-18 21:44:09.274] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:10 - lightweight_realtime - INFO - [2025-12-18 21:44:10.284] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:11 - lightweight_realtime - INFO - [2025-12-18 21:44:11.340] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:12 - lightweight_realtime - INFO - [2025-12-18 21:44:12.404] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:13 - lightweight_realtime - INFO - [2025-12-18 21:44:13.423] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:14 - lightweight_realtime - INFO - [2025-12-18 21:44:14.434] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:15 - lightweight_realtime - INFO - [2025-12-18 21:44:15.463] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:16 - lightweight_realtime - INFO - [2025-12-18 21:44:16.476] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:17 - lightweight_realtime - INFO - [2025-12-18 21:44:17.496] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:18 - lightweight_realtime - INFO - [2025-12-18 21:44:18.519] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:19 - lightweight_realtime - INFO - [2025-12-18 21:44:19.539] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:20 - lightweight_realtime - INFO - [2025-12-18 21:44:20.560] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:21 - lightweight_realtime - INFO - [2025-12-18 21:44:21.573] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:22 - lightweight_realtime - INFO - [2025-12-18 21:44:22.596] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:23 - lightweight_realtime - INFO - [2025-12-18 21:44:23.631] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:24 - lightweight_realtime - INFO - [2025-12-18 21:44:24.656] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:25 - lightweight_realtime - INFO - [2025-12-18 21:44:25.717] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:26 - lightweight_realtime - INFO - [2025-12-18 21:44:26.739] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:27 - lightweight_realtime - INFO - [2025-12-18 21:44:27.763] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:28 - lightweight_realtime - INFO - [2025-12-18 21:44:28.787] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:29 - lightweight_realtime - INFO - [2025-12-18 21:44:29.880] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:30 - lightweight_realtime - INFO - [2025-12-18 21:44:30.902] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:31 - lightweight_realtime - INFO - [2025-12-18 21:44:31.907] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:32 - lightweight_realtime - INFO - [2025-12-18 21:44:32.919] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:33 - lightweight_realtime - INFO - [2025-12-18 21:44:33.936] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:34 - lightweight_realtime - INFO - [2025-12-18 21:44:34.954] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:36 - lightweight_realtime - INFO - [2025-12-18 21:44:36.044] Positions: 0 | State: IDLE | Symbol: N/A
