2025-12-22 17:31:04 - lightweight_realtime - INFO - [2025-12-22 17:31:04.460] Positions: 2 | State: SCANNING | Symbol: BMYm
2025-12-22 17:31:05 - lightweight_realtime - INFO - [2025-12-22 17:31:05.491] Positions: 2 | State: SCANNING | Symbol: PGm
2025-12-22 17:31:06 - lightweight_realtime - INFO - [2025-12-22 17:31:06.594] Positions: 2 | State: SCANNING | Symbol: FTNTm
2025-12-22 17:31:07 - lightweight_realtime - INFO - [2025-12-22 17:31:07.638] Positions: 2 | State: SCANNING | Symbol: MSm
2025-12-22 17:31:08 - lightweight_realtime - INFO - [2025-12-22 17:31:08.711] Positions: 2 | State: SCANNING | Symbol: XNIUSDm
2025-12-22 17:31:09 - lightweight_realtime - INFO - [2025-12-22 17:31:09.935] Positions: 2 | State: SCANNING | Symbol: TMUSm
2025-12-22 17:31:10 - lightweight_realtime - INFO - [2025-12-22 17:31:10.974] Positions: 2 | State: SCANNING | Symbol: MCDm
2025-12-22 17:31:12 - lightweight_realtime - INFO - [2025-12-22 17:31:12.029] Positions: 2 | State: SCANNING | Symbol: BIIBm
2025-12-22 17:31:13 - lightweight_realtime - INFO - [2025-12-22 17:31:13.091] Positions: 2 | State: SCANNING | Symbol: EURCADm
2025-12-22 17:31:14 - lightweight_realtime - INFO - [2025-12-22 17:31:14.232] Positions: 2 | State: SCANNING | Symbol: MSFTm
2025-12-22 17:31:15 - lightweight_realtime - INFO - [2025-12-22 17:31:15.256] Positions: 2 | State: SCANNING | Symbol: LINm
2025-12-22 17:31:16 - lightweight_realtime - INFO - [2025-12-22 17:31:16.281] Positions: 2 | State: SCANNING | Symbol: BAm
2025-12-22 17:31:17 - lightweight_realtime - INFO - [2025-12-22 17:31:17.345] Positions: 2 | State: SCANNING | Symbol: REGNm
2025-12-22 17:31:18 - lightweight_realtime - INFO - [2025-12-22 17:31:18.379] Positions: 2 | State: SCANNING | Symbol: USDSEKm
2025-12-22 17:31:19 - lightweight_realtime - INFO - [2025-12-22 17:31:19.452] Positions: 2 | State: SCANNING | Symbol: USDHKDm
2025-12-22 17:31:20 - lightweight_realtime - INFO - [2025-12-22 17:31:20.480] Positions: 2 | State: SCANNING | Symbol: NZDMXNm
2025-12-22 17:31:21 - lightweight_realtime - INFO - [2025-12-22 17:31:21.528] Positions: 2 | State: SCANNING | Symbol: PLNDKKm
2025-12-22 17:31:22 - lightweight_realtime - INFO - [2025-12-22 17:31:22.565] Positions: 2 | State: SCANNING | Symbol: PLNJPYm
2025-12-22 17:31:23 - lightweight_realtime - INFO - [2025-12-22 17:31:23.644] Positions: 2 | State: SCANNING | Symbol: GBPDKKm
2025-12-22 17:31:24 - lightweight_realtime - INFO - [2025-12-22 17:31:24.689] Positions: 2 | State: ENTERING TRADE | Symbol: TSLAm
2025-12-22 17:31:25 - lightweight_realtime - INFO - [2025-12-22 17:31:25.720] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:26 - lightweight_realtime - INFO - [2025-12-22 17:31:26.754] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:27 - lightweight_realtime - INFO - [2025-12-22 17:31:27.773] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:28 - lightweight_realtime - INFO - [2025-12-22 17:31:28.793] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:29 - lightweight_realtime - INFO - [2025-12-22 17:31:29.821] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:30 - lightweight_realtime - INFO - [2025-12-22 17:31:30.844] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:31 - lightweight_realtime - INFO - [2025-12-22 17:31:31.866] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:32 - lightweight_realtime - INFO - [2025-12-22 17:31:32.896] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:33 - lightweight_realtime - INFO - [2025-12-22 17:31:33.917] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:34 - lightweight_realtime - INFO - [2025-12-22 17:31:34.939] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:35 - lightweight_realtime - INFO - [2025-12-22 17:31:35.958] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:37 - lightweight_realtime - INFO - [2025-12-22 17:31:36.996] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
