2025-12-19 12:10:00 - lightweight_realtime - INFO - [2025-12-19 12:10:00.454] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:01 - lightweight_realtime - INFO - [2025-12-19 12:10:01.465] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:02 - lightweight_realtime - INFO - [2025-12-19 12:10:02.516] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:03 - lightweight_realtime - INFO - [2025-12-19 12:10:03.553] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:04 - lightweight_realtime - INFO - [2025-12-19 12:10:04.576] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:05 - lightweight_realtime - INFO - [2025-12-19 12:10:05.585] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:06 - lightweight_realtime - INFO - [2025-12-19 12:10:06.594] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:07 - lightweight_realtime - INFO - [2025-12-19 12:10:07.606] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:08 - lightweight_realtime - INFO - [2025-12-19 12:10:08.622] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:09 - lightweight_realtime - INFO - [2025-12-19 12:10:09.637] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:10 - lightweight_realtime - INFO - [2025-12-19 12:10:10.664] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:11 - lightweight_realtime - INFO - [2025-12-19 12:10:11.673] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:12 - lightweight_realtime - INFO - [2025-12-19 12:10:12.682] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:13 - lightweight_realtime - INFO - [2025-12-19 12:10:13.690] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:14 - lightweight_realtime - INFO - [2025-12-19 12:10:14.703] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:10:15 - lightweight_realtime - INFO - [2025-12-19 12:10:15.725] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
