2025-12-21 19:20:16 - lightweight_realtime - INFO - [2025-12-21 19:20:16.504] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:17 - lightweight_realtime - INFO - [2025-12-21 19:20:17.517] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:18 - lightweight_realtime - INFO - [2025-12-21 19:20:18.541] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:19 - lightweight_realtime - INFO - [2025-12-21 19:20:19.565] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:20 - lightweight_realtime - INFO - [2025-12-21 19:20:20.590] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:21 - lightweight_realtime - INFO - [2025-12-21 19:20:21.593] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:22 - lightweight_realtime - INFO - [2025-12-21 19:20:22.625] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:23 - lightweight_realtime - INFO - [2025-12-21 19:20:23.629] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:24 - lightweight_realtime - INFO - [2025-12-21 19:20:24.643] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:25 - lightweight_realtime - INFO - [2025-12-21 19:20:25.662] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:26 - lightweight_realtime - INFO - [2025-12-21 19:20:26.670] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:27 - lightweight_realtime - INFO - [2025-12-21 19:20:27.693] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:28 - lightweight_realtime - INFO - [2025-12-21 19:20:28.706] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:29 - lightweight_realtime - INFO - [2025-12-21 19:20:29.719] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:30 - lightweight_realtime - INFO - [2025-12-21 19:20:30.743] Positions: 0 | State: IDLE | Symbol: N/A
