2025-12-09 16:40:20 - discrepancies - WARNING - Order 465329120 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463835617 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467549162 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464988651 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464586738 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467099638 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467004407 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463835642 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 0 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467376640 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467488770 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467764226 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467746820 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 463241221 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 470675462 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467572744 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467467273 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467004428 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 464800781 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467457555 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467738645 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 463872023 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 465456151 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 464980505 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467572251 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:21 - discrepancies - WARNING - Order 467004444 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
